AoA_deg,AoS_deg,RunSuccessful,DynamicPressure_Pa,AreaProj_m2,AreaRef_m2,CD_ADBSat,CD_projected,Drag_N,CFx_B,CFy_B,CFz_B,CMx_B,CMy_B,CMz_B,Mx_Nm,My_Nm,Mz_Nm,MomentMagnitude_Nm,ForceCoefficientMagnitude,DragRatioToNominal
0,20,1,0.00015407609581726,0.0968715769825077,0.843762977802813,0.294370817184518,2.56400489207176,3.82692970000296e-05,-0.276618084691341,-0.10068074906145,-0.000240402686202568,-0.000305417415843212,0.000836921204189545,0.000602616429584324,-3.96915822507081e-08,1.08765005170838e-07,7.83151134798191e-08,1.39780202642342e-07,0.294370915348871,0.989259654129747
0,30,1,0.00015407609581726,0.0968633117611678,0.843762977802813,0.294359545118933,2.56412548588705,3.82678315897359e-05,-0.254922843974199,-0.1471797724646,-0.000242158377667922,-0.000444376088559423,0.000771798173436942,0.000894853745289002,-5.77504397403416e-08,1.00301715268407e-07,1.16293829988156e-07,1.64072551846132e-07,0.29435964472615,0.989221773337732
0,45,1,0.00015407609581726,0.0968534072520721,0.843762977802813,0.294619362725309,2.56665116761966,3.83016088412968e-05,-0.208327371314896,-0.208327327188954,-0.000200516262772017,-0.000640715291774257,0.000642550808791521,0.00126418945576087,-8.32663835902519e-08,8.35049245865541e-08,1.64292136469288e-07,2.02233204919589e-07,0.294619430960416,0.990094913813673
0,60,1,0.00015407609581726,0.0968781989772049,0.843762977802813,0.295232896353786,2.57133793157564,3.83813704863956e-05,-0.147616448017075,-0.255679188367508,-0.000106235355726499,-0.000833196420311103,0.000479886324332234,0.00153170319659253,-1.08280937930373e-07,6.23652959037574e-08,1.99057814838021e-07,2.35028094704298e-07,0.295232915467426,0.992156748851906
0,75,1,0.00015407609581726,0.0968534094631739,0.843762977802813,0.294578910851243,2.5662987022905,3.82963499477772e-05,-0.0762382789481579,-0.284542544378939,-0.000211161642162799,-0.000875724068113463,0.000234015896420526,0.00171275464663869,-1.13807766274514e-07,3.04123495220613e-08,2.22586985567454e-07,2.51837417418167e-07,0.294578986568725,0.989958971646137
0,90,1,0.00015407609581726,0.09746372818797,0.843762977802813,0.295970435878709,2.56227522752859,3.84772533575255e-05,1.67008258700844e-05,-0.295970435878709,-0.000222546724326254,-0.00101647687325435,-4.38569016157499e-07,0.00177864119484696,-1.3209978648182e-07,-5.69957614544279e-11,2.31149501035682e-07,2.66233823294682e-07,0.295970520018793,0.994635316878148
-60,-60,1,0.00015407609581726,0.360170389935712,0.843762977802813,0.885932602581579,2.07545415107626,0.000115174521083562,-0.215556150717248,0.746740665728186,0.428040973238908,-0.00216911594833462,0.00194301090561536,-0.00448235486825069,-2.81895005355045e-07,2.52510738332765e-07,-5.82520012615673e-07,6.94662531100709e-07,0.887302175549865,2.97725633401617
-60,-30,1,0.00015407609581726,0.596753214797834,0.843762977802813,1.48857641590184,2.10473213754514,0.000193520449860623,-0.615747997755307,0.711008186420604,1.15526082466505,-0.00133651563955365,0.00577398876167376,-0.00426604406111572,-1.73691537171326e-07,7.50378786409117e-07,-5.5440858953454e-07,9.49002611865445e-07,1.48973346975309,5.00249516723564
-60,30,1,0.00015407609581726,0.596757549277465,0.843762977802813,1.48858701961848,2.10473184279385,0.000193521828383077,-0.615752274897558,-0.711013350790503,1.15526905063141,0.00133623271549488,0.00577444659910674,0.00426622611382437,1.73654768791506e-07,7.50438286264679e-07,5.54432248827313e-07,9.4905675212582e-07,1.48974408150885,5.0025308019808
-60,60,1,0.00015407609581726,0.360173051876063,0.843762977802813,0.88594004101442,2.07545623768182,0.000115175488107394,-0.21555780646025,-0.746746948644199,0.428044629788024,0.00216909279974246,0.00194443789268352,0.00448547048517045,2.8189199699926e-07,2.52696187399022e-07,5.82924913445872e-07,6.95068281404143e-07,0.887309629343525,2.97728133153993
-30,-60,1,0.00015407609581726,0.227027286302173,0.843762977802813,0.557759599691119,2.07295302868173,7.25108146906339e-05,-0.237855483059509,0.475693107882342,0.171211353921445,-0.00254981780226567,-0.000260234020947129,-0.00281978611540696,-3.31370438530926e-07,-3.38196170586355e-08,-3.66455109379014e-07,4.95216600307538e-07,0.558723985004983,1.87440138922508
-30,-30,1,0.00015407609581726,0.359627140967722,0.843762977802813,0.884599728855504,2.07546210048055,0.000115001242560322,-0.645720625766531,0.430492339865006,0.427384898386112,-0.00131410738492675,0.000553952269580725,-0.00254475524169557,-1.70779394524964e-07,7.19907933551407e-08,-3.30712515868879e-07,3.79102946538983e-07,0.885966496314209,2.97277709176699
-30,30,1,0.00015407609581726,0.359629170278008,0.843762977802813,0.884605570839369,2.07546409557208,0.000115002002039871,-0.645724873702667,-0.430495193166205,0.427387737520297,0.00131501603884182,0.000554963833669107,0.00254777529325815,1.70897481804001e-07,7.21222546835821e-08,3.31104997170793e-07,3.79523501326418e-07,0.885972348349683,2.97279672428014
-30,60,1,0.00015407609581726,0.226874625475228,0.843762977802813,0.557378259559478,2.07292965911609,7.24612390604972e-05,-0.237676034440964,-0.475368729404965,0.17112048752695,0.00258024630494596,-0.000278146591917415,0.00281616453033629,3.35324880400478e-07,-3.61475075033432e-08,3.65984453698447e-07,4.97688695936777e-07,0.558343574777336,1.87311986135374
30,-60,1,0.00015407609581726,0.227627100112348,0.843762977802813,0.558620488477546,2.07068177113726,7.26227334228197e-05,-0.238037323431934,0.476086516283418,-0.172977145625675,0.00217357520867548,4.81050340267756e-05,-0.0028574977190863,2.8247452403805e-07,6.25165696420882e-09,-3.71356051963156e-07,4.66622178293085e-07,0.559679579082823,1.87729448355845
30,-30,1,0.00015407609581726,0.357150410882899,0.843762977802813,0.878099614934115,2.0744983719121,0.000114156203664922,-0.640363239698799,0.426915348498074,-0.425783147019251,0.00158317512938737,-0.000181505672582656,-0.00256228271162,2.05747028838765e-07,-2.35882007985521e-08,-3.32990359168128e-07,3.92136229379295e-07,0.879552773758569,2.95093287327014
30,30,1,0.00015407609581726,0.357150410882899,0.843762977802813,0.878099614934207,2.07449837191232,0.000114156203664934,-0.640363239698866,-0.42691534849812,-0.425783147019296,-0.00158317512922101,-0.000181505672492871,0.00256228271125747,-2.05747028817144e-07,-2.35882007868838e-08,3.32990359121013e-07,3.92136229327241e-07,0.879552773758661,2.95093287327045
30,60,1,0.00015407609581726,0.227627100112348,0.843762977802813,0.558620488477555,2.0706817711373,7.26227334228209e-05,-0.238037323431928,-0.476086516283424,-0.172977145625701,-0.00217357520874532,4.81050341598875e-05,0.00285749771885609,-2.82474524047127e-07,6.25165698150783e-09,3.71356051933238e-07,4.66622178275001e-07,0.559679579082834,1.87729448355848
60,-60,1,0.00015407609581726,0.357150411340108,0.843762977802813,0.878101888093741,2.07450373956505,0.000114156499184096,-0.213450363540063,0.739434860507396,-0.42578410000409,0.00274187221289212,-0.00176452058903653,-0.00443807515673296,3.56329537261251e-07,-2.29314408608463e-07,-5.76765488739254e-07,7.15691460142495e-07,0.879555041168698,2.95094051242787
60,-30,1,0.00015407609581726,0.594140605390107,0.843762977802813,1.48222078442891,2.10496137022953,0.00019269419421889,-0.61241025949319,0.707148532428606,-1.15128679611327,0.00178789461535622,-0.00536166209953211,-0.00424438719531663,2.3235206147327e-07,-6.96793441318788e-07,-5.51594096235971e-07,9.18566615623568e-07,1.48343070608411,4.98113649502478
60,30,1,0.00015407609581726,0.594140605390107,0.843762977802813,1.4822207844291,2.10496137022979,0.000192694194218914,-0.612410259493266,-0.707148532428696,-1.1512867961134,-0.00178789461522705,-0.00536166209927575,0.00424438719504539,-2.32352061456484e-07,-6.96793441285471e-07,5.51594096200721e-07,9.18566615572881e-07,1.48343070608429,4.98113649502539
60,60,1,0.00015407609581726,0.357150411340108,0.843762977802813,0.878101888093913,2.07450373956545,0.000114156499184119,-0.213450363540105,-0.739434860507547,-0.42578410000416,-0.002741872212799,-0.00176452058888911,0.00443807515640877,-3.56329537249148e-07,-2.29314408589305e-07,5.76765488697124e-07,7.15691460096379e-07,0.879555041168869,2.95094051242845
